"LANGUAGE","简体中文"
"CAM_NAM","ACME：相机模组"
"CAM_DESC","正在开发：相机模组"
"CAM_XPOS","镜头中心X轴坐标"
"CAM_ZPOS","镜头中心Z轴坐标"
"CAM_ROT","绕目标旋转"
"CAM_SIZE","目标距离"
"CAM_TILT","倾转"
"CAM_FOV","视角（FOV）"
"CAM_SLI_TIP","按住 Shift 键：增加速度 (×10)
按住 Alt 键：降低速度 (÷10)
按住 Ctrl 键：大幅度降低速度 (÷100)"
"CAM_COL_BLD","建筑碰撞"
"CAM_COL_NET","道路碰撞"
"CAM_COL_PRO","摆件碰撞"
"CAM_COL_TRE","树木碰撞"
"CAM_COL_WAT","水面起伏"
"CAM_COL_GND","最低离地间距"
"CAM_CLP_FAR","远裁剪平面"
"CAM_CLP_FAR_L","默认：20 千米"
"CAM_CLP_NEA","近裁剪平面"
"CAM_CLP_NEA_L","注意：当相机摄像头与模型的距离小于2米时，可能会导致阴影闪烁。"
"CAM_SPD_MIN","最低相机移动速度"
"CAM_OPT_GEN","常规选项"
"CAM_OPT_CAM","摄像头"
"CAM_OPT_FPS","每秒帧数"
"CAM_OPT_DIS","自动前往灾难位置"
"CAM_OPT_ZTC","缩放到鼠标光标"
"CAM_OPT_DFR","跟随车辆或公民时不改变相机摄像头旋转"
"CAM_OPT_ZTC_TIP","当选择相机时，缩放将被偏移到鼠标光标上(而不是屏幕中间)"
"CAM_OPT_MDG","地图拖拽"
"CAM_MDG_INX","反转X轴"
"CAM_MDG_INY","反转Y轴"
"CAM_MDG_SPD","拖拽速度"
"CAM_FPS_KTS","按键转动速度"
"CAM_FPS_KMS","按键移动速度"
"CAM_FPS_MTS","鼠标转动速度"
"CAM_OPT_SHD","阴影"
"CAM_OPT_OTH","其他","Options panel tab title"
"CAM_OPT_MIS","其他界面选项","Options panel header"
"CAM_SHD_MAX","最大显示距离倍乘因子"
"CAM_SHD_MIN","锐度/范围调整"
"SHARP","清晰的阴影，较短的范围"
"FUZZY","模糊的阴影，较大范围"
"KEY_KEY","面板快捷键"
"KEY_MDG","地图拖拽键"
"KEY_FPS","切换自由帧率模式"
"KEY_ABS_UP","上(绝对值)"
"KEY_ABS_DWN","下(绝对值)"
"KEY_ABS_FWD","前(绝对值)"
"KEY_ABS_BCK","后(绝对值)"
"KEY_ABS_LFT","左(绝对值)"
"KEY_ABS_RHT","右(绝对值)"
"KEY_REL_FWD","前(相对值)"
"KEY_REL_BCK","后(相对值)"
"KEY_REL_LFT","左(相对值)"
"KEY_REL_RHT","右(相对值)"
"KEY_ROT_LFT","向左旋转"
"KEY_ROT_RHT","向右旋转"
"KEY_ROT_UP","向上旋转"
"KEY_ROT_DWN","向下旋转"
"KEY_ROT_MSE","鼠标外观"
"KEY_FPS_RES","从游戏设置中重置"
"KEY_FPS_RES_TIP","将分配的键位重置为默认设置，在适用的情况下使用当前的游戏设置。"
"TAB_KEYS","操作键","Options panel tab: configure generic action hotkeys."
"KEY_RESET","重置摄像头旋转","Options panel item: set the hotkey to reset the camera rotation."
"KEY_RESET_TIP","将摄像头旋转重置为90度，然后镜头直面向下","Options panel tooltip."
"KEY_GOTO_MOVEIT","转到 MoveIt 选择键"
"KEY_GOTO_MOVEIT_TIP","将摄像头移动到当前Move It选择的中间点(如果有的话)"
"KEY_XROT","固定的X轴旋转移动"
"KEY_YROT","固定的Y轴旋转移动"
"KEY_ROT_TIP","按这个键可以控制摄像头每次旋转 15 度。
使用 Ctrl+Alt 将每次旋转增加到 45 度。
同时使用 Shift 可以反方向旋转。","Options panel tooltip"
"CAM_ERR_CON1","在ACME可以正常工作前必需移除这些模组"
